timestamp,open,high,low,close,volume,close_time,quote_av,trades,tb_base_av,tb_quote_av,ignore
2019-03-15,51.99,52.22,48.67,52.1,4908.5377,1552694399999,251775.9465601,1107,2181.27524,112177.6092371,0
2019-03-16,52.1,54.89,52.1,53.35,8103.46093,1552780799999,432998.0544527,1587,4551.93974,242972.6752681,0
2019-03-17,53.56,53.57,51.54,52.36,3314.97426,1552867199999,173492.7446768,971,1602.92451,83921.257029,0
2019-03-18,52.38,53.01,51.27,52.06,4037.80163,1552953599999,209795.9802207,1000,1887.17823,97968.7533999,0
2019-03-19,51.93,54.0,51.61,52.9,6567.87086,1553039999999,344520.65829,1410,2524.38283,132551.331603,0
2019-03-20,52.83,54.6,52.41,54.19,8340.92803,1553126399999,447668.2485888,1798,4060.89204,217939.200214,0
2019-03-21,54.29,54.29,50.0,52.28,7047.37704,1553212799999,371805.3377318,1763,3077.27015,163156.3587278,0
2019-03-22,52.22,53.25,51.83,52.66,3488.38037,1553299199999,183605.8053261,743,1791.12311,94243.7192389,0
2019-03-23,52.9,53.25,51.93,52.67,4902.64719,1553385599999,257458.9924169,817,3094.56027,162482.7013182,0
2019-03-24,52.56,52.89,52.2,52.64,3765.42597,1553471999999,197653.2072011,806,1094.82268,57471.1827099,0
2019-03-25,52.57,52.92,50.0,51.21,8674.60473,1553558399999,447639.3462434,1456,2796.75887,144836.8450852,0
2019-03-26,51.28,52.05,49.76,51.74,5716.81669,1553644799999,290559.3643796,1007,2810.22239,143218.0312346,0
2019-03-27,51.81,53.6,51.67,53.48,4570.70984,1553731199999,241078.6340905,1238,2104.49351,111012.1120056,0
2019-03-28,53.27,53.35,52.18,52.8,8971.55712,1553817599999,474048.2418392,1756,3340.69844,176652.1018869,0
2019-03-29,52.57,54.15,52.18,53.72,6652.54724,1553903999999,354685.523432,1770,2884.59189,153915.783116,0
2019-03-30,53.58,54.0,53.01,53.53,3337.9065,1553990399999,178789.1406983,816,1556.39968,83435.3960784,0
2019-03-31,53.5,56.83,50.56,56.07,12798.87428,1554076799999,702655.9539237,2517,4366.98668,241181.8399776,0
2019-04-01,56.01,60.5,55.66,60.13,16485.98216,1554163199999,959685.1252701,3647,6814.76276,397383.7534007,0
2019-04-02,60.05,70.0,58.87,68.94,31894.06812,1554249599999,2024025.2262243,7583,13724.40345,870271.4584217,0
2019-04-03,68.83,72.9,60.01,65.88,36232.35681,1554335999999,2486613.9390308,8219,18997.28336,1306638.2751937,0
2019-04-04,65.88,66.77,61.15,63.57,14457.30872,1554422399999,930955.1406667,4107,5946.93198,384450.7643906,0
2019-04-05,63.77,69.08,63.22,69.08,16267.2802,1554508799999,1087178.449689,3721,8931.39531,598652.5179217,0
2019-04-06,68.93,69.97,66.32,67.82,16698.18642,1554595199999,1137581.9156323,4563,9589.75128,651921.3127401,0
2019-04-07,67.87,70.09,67.63,69.34,6695.73288,1554681599999,461679.2145325,2548,3082.57419,212433.6096214,0
2019-04-08,69.35,72.27,67.4,70.47,17181.60679,1554767999999,1204390.671498,5011,7197.06491,505622.9961086,0
2019-04-09,70.42,70.55,66.82,67.75,14689.79196,1554854399999,1002093.007274,3797,9651.35429,658361.5555706,0
2019-04-10,67.75,72.0,67.49,70.86,13288.04389,1554940799999,928244.5858518,3604,5974.99544,417436.6949043,0
2019-04-11,70.64,71.17,61.51,65.97,17040.10943,1555027199999,1116819.1872761,4843,7094.38261,464259.8054715,0
